Antonio de Otermín,"Otermín, Antonio de, active 1678-1682",PER
Pedro Otero Bermúdez,"Otero Bermúdez, Pedro [Sin match LC]",PER
Francisco Pagave,"Pagave, Francisco [Sin match LC]",PER
Papaguirro,Papaguirro (Mexico) [Sin match LC],LOC
Papigoche,Papigochic (Mexico) [Sin match LC],LOC
Juan Isidro de Pardiñas,"Pardiñas Villar de Francos, Juan Isidro de [Sin match LC]",PER
Juan Isidro Pardiñas,"Pardiñas Villar de Francos, Juan Isidro de [Sin match LC]",PER
Juan Ysidro de Pardiñas,"Pardiñas Villar de Francos, Juan Isidro de [Sin match LC]",PER
Juan Ysidro Pardiñas,"Pardiñas Villar de Francos, Juan Isidro de [Sin match LC]",PER
Ysidro Pardiña,"Pardiñas Villar de Francos, Juan Isidro de [Sin match LC]",PER
Francisco de Pardo y Castro,"Pardo y Castro, Francisco de [Sin match LC]",PER
Jerónimo Pardo,"Pardo, Jerónimo [Sin match LC]",PER
Parras,"Parras de la Fuente (Coahuila, Mexico)",LOC
del Pasaje,"Pasaje (Durango, Mexico) [Sin match LC]",LOC
Diego Paslo,"Paslo, Diego [Sin match LC]",PER
Francisco Paulín,"Paulín, Francisco [Sin match LC]",PER
Paulín,"Paulín, Francisco [Sin match LC]",PER
Pedro de Perea,"Perea, Pedro de [Sin match LC]",PER
Pedro Perea,"Perea, Pedro de [Sin match LC]",PER
Gregorio Pertus,"Pertús, Gregorio [Sin match LC]",PER
Gregorio Pertús,"Pertús, Gregorio [Sin match LC]",PER
Perú,Peru,LOC
Audiencia de Lima,Peru. Real Audiencia de Lima,ORG
Andrés del Pez,"Pez, Andrés de [Sin match LC]",PER
Felipe V,"Philip V, King of Spain, 1683-1746",PER
Domingo Picado Pacheco,"Picado Pacheco, Domingo [Sin match LC]",PER
Domingo Picado Pacheco,"Picado Pacheco, Domingo [Sin match LC]",PER
Juan Picado Pacheco,"Picado Pacheco, Juan [Sin match LC]",PER
Pilares,"Pilares (Sonora, Mexico) [Sin match LC]",LOC
Pima,Pima Indians,ORG
Pimas,Pima Indians,ORG
Pimería,Pimería Alta (Mexico and Ariz.),LOC
Pimas Altos,Pimería Alta (Mexico and Ariz.),LOC
Pimería Alta,Pimería Alta (Mexico and Ariz.),LOC
Pineda,"Pineda, Juan Claudio de [Sin match LC]",PER
Pineda,"Pineda, Juan Claudio de [Sin match LC]",PER
Juan de Pineda,"Pineda, Juan de [Sin match LC]",PER
Pítiqui,"Pitic (Sonora, Mexico) [Sin match LC]",LOC
Cristobal Ponce,"Ponce de León, Cristóbal [Sin match LC]",PER
Pedro Porter Casanate,"Porter Casanate, Pedro de [Sin match LC]",PER
Ramón Portillo,"Portillo, Ramón [Sin match LC]",PER
Conde de la Monclova,"Portocarrero Lasso de la Vega, Melchor, Conde de la Monclova, 1636-1702",PER
conde de Monclova,"Portocarrero Lasso de la Vega, Melchor, Conde de la Monclova, 1636-1702",PER
Pedro del Pozo,"Pozo Herrera, Pedro del [Sin match LC]",PER
Presidio de San Miguel,Presidio de San Miguel (Mexico) [Sin match LC],LOC
Presidio de San Pedro,Presidio de San Pedro (Mexico) [Sin match LC],LOC
Gabriel de Prudhon,"Prudhon, Gabriel de [Sin match LC]",PER
Puebla,Puebla (Mexico),LOC
Puerto Rico,Puerto Rico,LOC
Pedro Martin de Quiroga,"Quiroga, Pedro Martín de [Sin match LC]",PER
Pedro Martín de Quiroga,"Quiroga, Pedro Martín de [Sin match LC]",PER
Diego de Quirós,"Quirós, Diego de [Sin match LC]",PER
Diego Quiros,"Quirós, Diego de [Sin match LC]",PER
Diego Quiroz,"Quirós, Diego de [Sin match LC]",PER
Don Diego,"Quirós, Diego de [Sin match LC]",PER
Diego de Quiroz,"Quiróz, Diego de [Sin match LC]",PER
Martín de Rebollar,"Rebollar, Martín de [Sin match LC]",PER
Francisco Renedo Vélez,"Renedo Vélez, Francisco [Sin match LC]",PER
Francisco Renero Velez,"Renedo Vélez, Francisco [Sin match LC]",PER
Pedro Renedos,"Renedos, Pedro [Sin match LC]",PER
Juan de Retana,"Retana, Juan de [Sin match LC]",PER
Andrés de Rezábal,"Rezaval, Andrés de [Sin match LC]",PER
Andrés de Rezaval,"Rezaval, Andrés de [Sin match LC]",PER
Andrés Rezaval,"Rezaval, Andrés de [Sin match LC]",PER
Rio de Vacas,Río de Vacas (Mexico) [Sin match LC],ORG
Río del Norte,Rio Grande,LOC
Ríos del Norte,Rio Grande,LOC
Pedro de Rivera,"Rivera, Pedro de, 1664-1744",PER
Pedro Rivera,"Rivera, Pedro de, 1664-1744",PER
Pedro Rivera,"Rivera, Pedro de, 1664-1744",PER
Joseph Rafael Rodríguez Gallardo,"Rodríguez Gallardo, Joseph Rafael [Sin match LC]",PER
Joseph Rodríguez Gallardo,"Rodríguez Gallardo, Joseph Rafael [Sin match LC]",PER
Nicolas Rodriguez,"Rodríguez, Nicolás [Sin match LC]",PER
Nicolás Rodríguez,"Rodríguez, Nicolás [Sin match LC]",PER
